(s, ns, GiB/s):
  0,                0.000,            38140.455,     25.004
  1,                0.000,            36181.326,     26.358
  2,                0.000,            35247.593,     27.056
  3,                0.000,            35077.248,     27.188
  4,                0.000,            35136.133,     27.142
  5,                0.000,            35068.735,     27.194
  6,                0.000,            34947.309,     27.289
  7,                0.000,            35019.464,     27.233
  8,                0.000,            35045.272,     27.213
  9,                0.000,            35147.916,     27.133
 10,                0.000,            35084.293,     27.182
 11,                0.000,            35049.819,     27.209
 12,                0.000,            35172.135,     27.114
 13,                0.000,            35305.626,     27.012
 14,                0.000,            34950.405,     27.287
 15,                0.000,            37525.576,     25.414
 16,                0.000,            35838.407,     26.610
 17,                0.000,            35306.136,     27.012
 18,                0.000,            35277.198,     27.034
 19,                0.000,            35147.571,     27.133
 20,                0.000,            35183.400,     27.106
 21,                0.000,            35165.291,     27.120
 22,                0.000,            34945.981,     27.290
 23,                0.000,            35214.940,     27.082
 24,                0.000,            35252.728,     27.052
 25,                0.000,            35175.798,     27.112
 26,                0.000,            35182.369,     27.107
 27,                0.000,            35036.471,     27.219
 28,                0.000,            35047.620,     27.211
 29,                0.000,            34987.164,     27.258
 30,                0.000,            35073.392,     27.191
 31,                0.000,            34958.934,     27.280
 32,                0.000,            35774.626,     26.658

34945.981, 38140.455, 35353.555, 696.160, 1.969 %

Delta(min, max)   = 3194.474
Delta(amean, min) = 407.574
Delta(amean, max) = 2786.900


(cycles, CPIt, CPI):
  0,            87820.282,                0.686,                0.137
  1,            87312.964,                0.682,                0.136
  2,            87218.722,                0.681,                0.136
  3,            87408.274,                0.683,                0.137
  4,            87660.128,                0.685,                0.137
  5,            87239.486,                0.682,                0.136
  6,            87714.008,                0.685,                0.137
  7,            87843.550,                0.686,                0.137
  8,            87319.582,                0.682,                0.136
  9,            88626.838,                0.692,                0.138
 10,            87364.518,                0.683,                0.137
 11,            87531.736,                0.684,                0.137
 12,            87565.802,                0.684,                0.137
 13,            87507.666,                0.684,                0.137
 14,            87567.478,                0.684,                0.137
 15,            87737.012,                0.685,                0.137
 16,            89109.410,                0.696,                0.139
 17,            88251.734,                0.689,                0.138
 18,            87152.812,                0.681,                0.136
 19,            87711.286,                0.685,                0.137
 20,            87566.018,                0.684,                0.137
 21,            87949.520,                0.687,                0.137
 22,            91631.802,                0.716,                0.143
 23,            87245.950,                0.682,                0.136
 24,            87660.384,                0.685,                0.137
 25,            87235.686,                0.682,                0.136
 26,            87259.134,                0.682,                0.136
 27,            87479.010,                0.683,                0.137
 28,            87354.424,                0.682,                0.136
 29,            87168.568,                0.681,                0.136
 30,            87482.684,                0.683,                0.137
 31,            87391.214,                0.683,                0.137
 32,            87813.920,                0.686,                0.137

87152.812, 91631.802, 87724.291, 815.248, 0.929 %

Delta(min, max)   = 4478.990
Delta(amean, min) = 571.479
Delta(amean, max) = 3907.511
