(s, ns, GiB/s):
  0, 0.000, 332431.816, 2.869
  1, 0.000, 333254.295, 2.862
  2, 0.000, 332067.978, 2.872
  3, 0.000, 331819.301, 2.874
  4, 0.000, 331596.842, 2.876
  5, 0.000, 333013.358, 2.864
  6, 0.000, 332606.610, 2.867
  7, 0.000, 332931.377, 2.864
  8, 0.000, 331991.082, 2.873
  9, 0.000, 331663.509, 2.875
 10, 0.000, 331311.449, 2.878
 11, 0.000, 332572.958, 2.868
 12, 0.000, 331481.797, 2.877
 13, 0.000, 332140.273, 2.871
 14, 0.000, 331787.858, 2.874
 15, 0.000, 332272.715, 2.870
 16, 0.000, 331641.725, 2.876
 17, 0.000, 332324.525, 2.870
 18, 0.000, 331922.589, 2.873
 19, 0.000, 331861.921, 2.874
 20, 0.000, 331736.606, 2.875
 21, 0.000, 332348.307, 2.870
 22, 0.000, 331505.593, 2.877
 23, 0.000, 332142.944, 2.871
 24, 0.000, 331799.837, 2.874
 25, 0.000, 331443.534, 2.877
 26, 0.000, 331550.316, 2.876
 27, 0.000, 331712.338, 2.875
 28, 0.000, 332519.755, 2.868
 29, 0.000, 332372.189, 2.869
 30, 0.000, 333292.133, 2.861
 31, 0.000, 331680.069, 2.875
 32, 0.000, 332167.437, 2.871

331311.449, 333292.133, 332089.850, 525.488, 0.158 %

Delta(min, max)   = 1980.684
Delta(amean, min) = 778.401
Delta(amean, max) = 1202.283


(cycles, CPIt, CPI):
  0, 828262.486, 6.471, 1.294
  1, 827778.030, 6.467, 1.293
  2, 828439.514, 6.472, 1.294
  3, 828396.084, 6.472, 1.294
  4, 828697.300, 6.474, 1.295
  5, 829942.576, 6.484, 1.297
  6, 827378.302, 6.464, 1.293
  7, 829399.522, 6.480, 1.296
  8, 829489.814, 6.480, 1.296
  9, 827994.096, 6.469, 1.294
 10, 828053.900, 6.469, 1.294
 11, 828376.246, 6.472, 1.294
 12, 827060.088, 6.461, 1.292
 13, 828400.042, 6.472, 1.294
 14, 828609.950, 6.474, 1.295
 15, 828930.022, 6.476, 1.295
 16, 828642.484, 6.474, 1.295
 17, 828087.622, 6.469, 1.294
 18, 827149.442, 6.462, 1.292
 19, 828754.232, 6.475, 1.295
 20, 828761.054, 6.475, 1.295
 21, 826595.126, 6.458, 1.292
 22, 827277.242, 6.463, 1.293
 23, 829360.802, 6.479, 1.296
 24, 827222.978, 6.463, 1.293
 25, 828979.324, 6.476, 1.295
 26, 830680.306, 6.490, 1.298
 27, 828084.282, 6.469, 1.294
 28, 829292.656, 6.479, 1.296
 29, 828814.516, 6.475, 1.295
 30, 827340.984, 6.464, 1.293
 31, 828817.948, 6.475, 1.295
 32, 828798.338, 6.475, 1.295

826595.126, 830680.306, 828420.221, 890.212, 0.107 %

Delta(min, max)   = 4085.180
Delta(amean, min) = 1825.095
Delta(amean, max) = 2260.085
